JC25,1,3015.25,7532.25,88.5,13219.25,11203.5,216.5,100.75,129.25,276.5,289.25,39433.75,164.75,8460.0,168.25,387.0,68.5,284.75,41039.0,152.75,35862.5,26572.25,31884.0,2538.75,128.0,392.25,62450.25,40677.75,1572.75,6729.75,14531.25,87.5,12993.0,147.5,1788.5,47000.75,6834.0,301.5,148.75,41079.5,39818.0,92.25,34704.75,43480.75,514.5,338.5,66892.25,43435.0,73.25,9309.5,19693.0,186.0,61.75,23054.0,97.5,29077.25,190.5,108.0,128.75,177.5,329.0,72929.0,150.25,21775.25,143.5,469.75,98.0,392.0,65485.0,152.0,57705.5,57058.0,63905.5,2143.25,99.25,527.0,82356.75,112.0,62905.5,5766.75,7377.5,244.0,8861.0,108.25,20387.5,120.5,329.5,299.0,573.5,37457.25,12122.5,1089.75,977.5,35176.5,271.0,34162.25,29194.5,28867.5,3540.25,438.5,52338.0,35027.5,73.0,18297.75,27696.5,246.0,70.5,97.25,15699.75,39567.25,1082.75,249.5,491.25,1384.25,65218.25,555.5,27844.25,171.0,3191.0,159.75,2159.0,60450.5,1124.25,63842.75,54563.5,62047.25,8715.5,285.5,983.0,81362.0,163.0,62979.5
JE99,1,2156.5,1565.0,70.25,16429.75,24495.0,112.0,99.25,159.25,217.5,223.0,25221.0,180.75,1030.5,208.0,178.5,102.75,352.75,14761.5,128.0,23703.25,18633.5,20814.5,4451.0,107.0,347.25,46851.75,23394.25,227.0,213.5,17792.0,124.75,17320.25,200.75,1713.25,11770.75,161.5,488.5,126.0,12224.0,13690.5,78.5,6763.75,12867.5,479.5,225.75,23474.5,15926.0,88.5,6160.5,3163.75,138.5,71.0,17714.5,93.0,43664.5,158.0,131.75,136.25,191.75,268.0,34515.5,180.25,1667.0,141.25,215.0,100.75,665.5,34055.25,125.0,33447.25,29919.0,44141.75,5179.5,84.5,565.0,59223.0,117.0,42914.25,1634.75,910.25,155.75,5312.0,103.0,12915.75,97.75,188.5,187.5,294.0,11300.25,753.0,176.5,297.25,10363.5,144.75,10566.5,9467.75,11898.75,2840.5,249.5,21802.75,11552.75,90.0,8798.25,6306.5,239.75,77.75,101.25,14477.25,50665.0,516.0,276.5,500.5,657.5,45255.25,618.5,4716.75,382.25,906.75,219.5,2800.25,37822.75,537.25,44903.25,39078.5,46460.5,10689.75,351.5,718.5,57921.75,112.0,45096.5
EE71,1,890.75,4677.75,753.0,1207.75,43337.5,224.0,130.0,143.25,355.25,252.25,28227.0,202.0,4547.75,200.25,537.5,115.0,64.0,20357.75,113.75,22855.75,17622.25,21451.0,470.0,102.5,274.5,35060.0,23790.0,373.75,2514.25,2153.5,88.75,33649.5,139.0,1397.0,28570.75,2456.0,247.5,158.25,15917.75,11987.25,45.25,15198.5,21904.0,181.75,201.75,41767.25,16923.0,80.0,332.25,4205.25,153.0,122.5,777.5,100.25,33879.5,190.25,97.75,127.25,206.0,240.25,16399.75,177.0,3179.25,147.25,366.75,74.5,67.25,17230.5,86.75,22231.75,12409.75,17093.25,409.5,81.0,213.0,31913.0,97.5,18575.25,1011.25,2629.5,163.25,717.5,129.0,14824.5,583.5,447.5,247.0,449.75,6581.5,4201.0,458.25,143.5,8233.0,160.0,7810.75,7285.25,11799.5,878.25,260.0,14736.75,8799.0,91.0,3558.5,10069.5,197.5,684.5,3854.25,890.5,46590.5,861.5,229.5,337.25,602.25,26810.0,7317.5,15514.75,6445.75,1190.25,204.5,307.25,23753.0,280.75,25326.75,20843.5,33288.25,2396.5,292.75,445.0,37624.0,127.5,22997.0
GC03,1,40677.75,48456.75,126.25,44748.0,71822.5,1703.0,477.0,3408.0,531.0,2011.0,106085.75,2892.25,46416.25,2182.5,13785.0,344.5,7310.75,96088.25,8092.0,89977.25,88865.0,96495.0,29207.25,1884.25,18781.0,119597.0,99349.75,23044.5,37697.25,23967.5,95.5,60661.25,336.5,2183.5,102531.5,26129.0,800.25,3811.25,83075.75,81504.75,105.0,78180.0,88062.5,7110.5,3049.5,111497.0,90613.5,97.75,51665.0,61001.75,311.75,87.75,52597.0,136.0,98080.0,1455.25,258.0,2877.5,374.0,2888.5,135169.75,648.25,58512.75,410.25,14818.75,308.25,7471.5,120821.5,7316.0,112241.0,124367.0,126339.25,36873.75,1577.5,18377.5,134232.0,114.0,125963.75,26558.75,28443.75,249.25,7998.25,115.5,47525.0,100.5,1526.75,776.75,2154.25,74650.5,30054.0,4980.0,1979.0,59517.5,1629.75,71842.75,62617.25,73562.0,16832.0,4434.75,82964.75,65797.5,103.75,13095.0,16898.0,228.5,114.0,93.0,7074.5,41198.25,605.5,639.25,429.5,829.5,53665.25,1810.0,17950.0,599.0,3064.0,220.25,904.75,51199.25,1019.5,52835.5,50369.75,65257.5,7894.5,392.0,1808.75,74020.25,134.0,55961.0
GH35,2,3711.0,2949.25,1169.5,20080.5,78031.0,394.5,133.75,276.5,1681.25,293.0,53919.5,199.25,14224.0,314.25,965.25,198.0,374.25,49763.75,630.5,48485.5,41050.25,52928.0,14047.0,371.0,1616.5,68732.5,45871.5,398.5,249.25,27218.0,124.75,62369.5,146.0,5006.5,35266.5,1144.0,583.0,201.25,33896.25,27280.75,71.75,21819.25,40999.0,3555.75,623.5,41388.5,30990.0,106.5,2292.75,1428.75,186.0,72.0,22113.0,96.75,96966.5,150.25,96.0,193.5,960.0,248.0,63257.75,4488.5,13905.5,6636.25,562.5,197.0,152.0,53722.5,386.0,41635.5,50472.0,57615.0,12863.75,207.0,1174.0,79600.75,97.25,48539.75,5675.25,3068.0,253.0,8517.0,111.0,62170.25,1279.5,603.25,2044.5,801.0,42367.75,8643.5,2103.5,665.0,38700.5,1258.75,34540.25,30059.5,46476.0,12203.25,2008.0,51014.5,48659.25,67.25,10266.5,7263.0,376.5,590.0,1141.5,12148.25,77634.25,2048.5,25332.0,8258.75,1806.75,38414.0,133868.5,20636.5,137323.0,9199.0,35246.5,1686.0,35947.5,7427.75,40243.5,41005.0,39573.0,37567.0,21598.0,15888.5,52477.5,1070.75,33697.5
GJ04,1,4461.0,3686.5,88.0,1064.75,73731.5,264.25,108.5,181.5,1352.75,319.0,45229.5,147.0,4267.75,274.75,830.0,198.5,122.5,38155.75,432.5,41428.75,27568.75,49482.75,6199.25,144.75,1475.5,56591.0,38041.0,487.5,358.0,2484.0,112.0,67614.5,128.0,5365.0,40230.5,490.25,651.0,152.75,27453.0,28720.0,82.5,19513.5,35908.5,587.75,247.0,43400.75,29029.5,65.5,5479.5,4015.25,217.0,63.5,831.75,109.0,103682.75,233.0,107.75,166.0,1074.5,314.5,70292.5,139.75,4952.5,150.5,682.5,181.0,96.0,56285.0,462.75,55887.25,45585.0,64917.0,7111.5,112.5,1947.5,74122.5,114.5,46392.25,15624.75,12164.5,482.0,1178.5,140.5,75985.75,109.5,2045.25,5759.5,2630.5,52722.0,15413.5,5453.0,601.25,45914.75,3717.75,43181.0,47605.0,58010.5,23094.0,7695.5,59901.5,49960.0,112.0,7793.5,4008.25,224.0,145.5,111.75,999.75,63547.5,605.5,5435.75,2509.25,1069.25,30691.0,79123.0,7456.5,84686.25,2833.0,12748.25,331.0,30037.75,1867.75,31355.75,26020.0,36084.0,16555.75,5819.25,3818.75,42641.5,236.75,33845.0
GK91,1,496.0,1325.25,136.5,5923.75,1435.5,181.5,93.25,166.0,974.5,269.5,10105.75,189.75,1603.0,270.0,187.5,48.75,116.5,8679.5,144.75,9667.5,5235.5,9192.25,300.5,105.0,748.0,27441.25,8237.5,171.75,621.75,5772.5,131.5,738.5,115.5,2122.25,9234.0,787.0,305.5,124.0,6192.0,7268.5,76.5,2602.75,7661.0,154.0,270.25,25429.5,7532.25,65.25,729.75,1523.5,182.0,54.75,5177.0,103.0,2943.0,127.0,93.0,131.25,508.0,203.5,21391.0,165.0,2613.5,155.75,118.0,81.0,67.0,17487.0,102.25,15301.5,12220.5,16418.5,315.0,64.0,720.0,43420.0,96.75,14160.75,497.5,1311.5,182.0,1501.0,106.75,985.0,596.25,159.5,696.0,217.75,7228.0,2945.25,187.0,80.0,7228.75,106.5,6667.0,4623.5,7028.0,532.75,409.75,21533.5,7762.5,91.5,709.5,2365.0,216.75,68.25,103.5,1578.75,1868.0,174.0,144.25,721.5,240.0,10642.5,200.25,5806.75,233.0,256.25,68.5,127.75,10435.75,169.5,10630.25,11284.0,14395.0,742.0,93.75,516.5,34765.5,122.75,17034.5
GM41,1,8608.5,5452.25,3116.0,18489.0,85007.25,188.5,132.75,636.0,2910.75,333.75,51070.75,295.75,5192.0,287.25,2103.25,274.0,224.75,37169.5,1049.5,43590.0,40311.0,55456.5,9816.0,280.75,11678.5,61475.25,46295.5,3225.5,2844.25,21313.5,103.5,86423.0,127.25,6587.75,57227.75,1188.75,438.0,1728.75,43291.75,46467.5,106.0,38207.0,49259.5,3000.0,5459.25,65987.0,51592.5,115.5,14365.0,11492.0,212.5,221.5,43539.0,114.0,123162.5,228.0,161.75,800.0,3873.75,314.5,82015.5,319.0,9199.0,195.0,4158.5,400.5,335.5,71156.5,2196.25,72776.0,67559.5,82003.75,17116.5,304.25,12959.0,102836.0,116.5,69121.5,17574.0,16532.5,298.25,23281.25,114.0,85371.25,3047.5,2566.5,5044.0,2016.75,69029.25,16436.5,15137.0,3686.75,59534.5,7825.25,63018.5,56090.75,61901.0,18394.0,16526.0,72713.5,67757.25,200.0,10722.5,6876.0,222.5,791.5,4174.25,12792.5,72974.75,604.5,2629.0,2458.0,688.0,37453.25,15629.75,9492.25,17109.0,7170.75,1275.5,1541.75,41948.25,4853.0,43090.25,40720.75,43863.0,11662.25,1657.25,9734.0,54341.5,178.5,45369.25
GM62,1,1130.5,966.25,134.0,4266.0,2867.25,312.25,156.75,202.25,819.0,343.0,4877.0,206.0,1647.5,448.0,340.5,259.75,144.5,4111.5,173.0,3197.0,2948.25,2975.5,248.0,132.5,279.5,9155.5,3637.75,184.75,301.75,3568.0,156.75,1744.25,137.5,850.75,2013.5,347.5,308.5,149.25,1166.75,1155.5,78.0,677.0,1486.5,131.0,227.5,4288.0,1181.0,88.25,600.0,992.0,170.75,67.0,2114.5,96.5,4199.25,121.0,99.5,113.25,190.75,197.0,5840.25,143.5,849.75,171.5,133.0,85.25,64.25,3295.25,60.0,3858.0,2194.0,4401.5,169.5,79.0,205.5,11550.0,94.75,4206.5,2123.75,1918.25,179.5,3629.5,113.25,6950.0,77.75,134.25,399.75,220.0,6648.75,2871.0,574.5,136.75,6827.5,144.5,5409.25,4834.0,9154.5,634.75,273.5,12732.5,7969.0,84.75,4600.0,4999.5,167.5,70.5,93.0,4395.0,9105.0,170.5,180.75,487.75,221.75,14364.0,164.75,6820.75,374.0,678.5,147.0,135.0,10218.25,139.5,11255.25,8873.0,10504.0,952.75,87.5,295.5,22309.25,103.0,13437.25
GN03,1,4090.0,5309.25,99.5,11552.75,42082.25,192.0,123.25,146.5,474.0,232.0,21359.75,144.0,3687.75,239.75,335.75,134.5,124.5,15624.0,112.75,15134.5,11944.25,16997.75,1661.5,108.0,493.5,32033.25,14452.0,426.0,1060.25,10045.0,118.75,38126.75,123.25,1108.0,11151.5,650.25,314.25,132.0,10342.75,8163.0,76.25,4951.5,12153.0,264.5,243.75,23572.25,8766.75,67.0,2973.25,2424.0,166.25,92.75,13838.0,102.75,44675.75,114.75,104.5,131.0,191.5,200.25,23224.25,151.5,2396.5,178.0,238.0,77.0,90.5,14038.25,106.75,9739.0,13037.0,14294.0,1254.0,84.25,510.5,30509.25,88.25,17892.25,3805.25,3591.75,193.5,6316.0,97.5,47513.25,86.5,210.75,296.0,233.0,15937.5,3318.5,509.25,221.25,13982.5,191.0,14551.25,11015.5,16735.5,2532.0,556.0,25223.5,17616.75,72.5,4112.25,5287.25,147.75,64.5,86.5,7178.75,44386.0,145.25,171.25,326.75,230.25,21774.75,166.75,4079.5,222.25,531.25,172.5,287.0,16667.5,178.5,19845.5,12181.25,20572.25,2230.0,155.25,573.0,27133.75,109.5,14010.75
HE88,1,1844.75,5438.75,229.25,5409.5,21451.0,244.25,147.0,191.0,406.75,312.0,20323.5,181.0,6845.0,300.0,535.75,171.5,151.5,17085.25,117.5,18049.5,9253.5,16826.25,1478.75,145.75,402.75,36046.0,20095.5,449.25,2389.75,5220.5,151.5,23228.0,148.0,430.25,25475.25,4318.75,225.0,144.25,17832.0,17506.5,119.25,14861.5,22075.75,350.75,222.0,40213.5,20820.5,74.5,1342.75,4892.25,171.25,89.75,3037.5,117.0,31776.5,176.0,107.5,122.5,177.75,254.75,18553.5,142.5,5630.5,157.5,251.5,124.5,84.75,16206.0,92.0,16258.0,15277.25,15070.0,1598.75,62.5,208.0,34555.0,111.0,21315.25,2346.5,6989.0,169.5,2605.25,107.5,22278.0,129.5,271.25,167.0,362.0,16975.0,10538.5,854.5,254.0,17009.25,136.75,20072.0,15055.5,19174.75,2063.0,356.0,33967.5,19429.0,87.5,5774.25,10360.0,127.0,49.0,103.0,3385.25,38061.0,263.75,139.0,206.0,361.5,30526.25,151.25,16103.5,205.25,1100.75,211.75,380.5,27543.25,137.5,30378.75,23991.5,29435.0,3830.5,118.25,490.25,44232.5,122.0,28969.5
HV65,1,252.0,225.25,70.75,5929.5,900.0,255.0,132.5,161.25,361.75,360.5,6660.0,205.0,558.0,279.25,180.0,77.5,128.0,5995.75,171.5,7404.5,4753.0,5811.75,659.75,106.0,322.75,15560.0,7418.75,122.75,130.5,4071.0,103.0,454.75,173.25,319.5,5006.75,195.0,214.25,114.25,4235.0,4978.0,73.0,3063.5,3708.5,231.5,217.0,13291.25,5269.0,95.75,144.25,161.0,149.5,53.75,2827.75,107.5,700.75,206.25,102.0,121.5,206.25,281.0,5438.75,141.0,282.0,159.5,123.0,72.0,65.5,5333.75,92.0,5776.0,2912.0,3909.0,304.25,84.0,186.5,12443.5,120.5,5566.75,437.25,363.25,151.25,2404.25,108.5,1907.5,78.25,308.0,162.0,430.5,6316.5,1085.75,252.0,183.0,6648.5,214.5,7370.0,6004.5,6828.0,1013.0,400.0,16048.0,7283.5,74.5,1300.0,812.25,191.0,72.5,123.0,5638.0,5333.0,432.5,202.25,139.75,503.75,18454.0,219.0,2380.0,199.75,513.0,92.75,382.75,20224.25,503.0,20655.25,15266.5,20320.75,2745.5,140.0,627.25,38686.0,107.25,23536.5
IC95,1,3552.0,5136.5,2011.0,13936.0,14297.0,941.25,105.0,387.5,580.0,735.25,36063.25,192.75,9003.0,527.5,557.5,111.75,723.25,28307.25,545.25,31878.25,22981.5,30566.0,4573.5,202.25,1764.0,54000.0,33403.25,351.5,639.75,7178.5,124.25,4572.25,194.75,601.25,18674.0,1249.75,306.25,128.25,16722.5,13615.5,70.0,9684.75,13144.0,534.5,284.25,34349.0,17252.5,80.5,2129.25,3723.75,164.0,160.75,9465.5,111.25,11388.5,568.25,117.5,226.75,434.0,641.5,29753.5,143.25,4920.5,276.75,274.5,99.25,288.25,25048.5,315.5,26895.25,22900.5,26304.25,2638.0,126.75,817.0,48022.75,109.0,35925.0,3100.5,3645.25,162.0,4620.5,112.0,14429.25,646.25,778.25,702.75,902.75,26432.5,6458.25,565.0,527.25,16483.25,527.5,20721.75,17356.5,22496.0,4193.0,903.0,38132.75,24862.5,133.75,5068.5,8071.0,219.0,313.0,2654.5,9574.75,21058.75,1237.5,666.5,839.75,1419.75,43488.25,267.5,9983.75,1044.25,976.25,212.0,1216.75,30481.0,1233.75,32742.5,26753.25,29583.5,5933.75,344.0,1272.0,54438.5,122.25,41181.0
IJ26,2,408.25,3301.0,168.25,3239.75,5549.75,207.25,121.0,183.75,448.5,314.5,29482.25,186.0,4437.75,302.0,812.75,115.75,105.5,19863.25,474.25,21118.5,16015.75,23333.25,668.5,129.0,310.0,33317.0,20212.5,126.0,488.0,3354.0,114.5,2009.25,164.0,759.5,19610.75,829.5,334.0,155.5,16402.0,16639.25,93.75,14368.0,21829.25,157.0,223.5,32915.75,19938.0,87.75,293.75,3014.0,182.75,80.5,3181.0,109.75,8087.0,227.5,98.75,126.0,210.75,253.0,39624.0,146.25,4812.25,184.0,398.0,68.75,98.0,26676.0,380.5,26014.5,25900.5,39260.25,470.0,76.25,240.5,48682.0,99.75,34345.25,1970.0,5258.5,186.5,2448.0,115.0,10926.25,261.0,562.5,265.0,679.25,28799.0,10853.25,2277.75,258.5,26873.75,1063.75,29303.0,20599.5,32288.75,1980.5,520.0,40213.0,26232.0,110.5,2810.25,11692.75,232.0,188.25,1394.0,3479.0,17953.5,917.25,433.5,293.0,730.25,46187.25,146.75,15523.0,296.25,2758.75,93.5,413.0,37959.0,1986.75,35458.5,36578.25,37953.5,4279.25,183.5,702.25,43550.5,116.5,38084.0
IV92,2,24753.25,19710.0,106.0,33025.0,30342.0,2041.5,151.75,312.75,6531.25,1935.75,68669.75,163.75,9276.25,2360.5,3629.75,97.25,1278.5,63705.25,1196.25,69271.5,60472.0,69931.0,15828.0,398.25,14325.75,85185.0,70257.5,7859.0,5795.75,20172.75,140.75,11662.75,720.25,4679.0,55273.0,1921.0,1041.75,492.25,51019.0,51305.5,74.0,42128.25,53851.5,2311.75,3385.5,77973.5,59113.5,104.5,11330.0,4017.5,159.25,80.25,13705.0,117.25,16229.5,731.5,122.5,170.25,3068.0,699.5,55137.25,155.75,2576.0,815.75,1294.25,83.5,349.5,44750.0,353.75,35333.5,42425.5,48136.5,5378.5,147.5,4289.25,72327.25,133.5,51586.0,17992.25,14858.5,168.25,15276.5,88.0,27148.75,80.0,2256.0,11045.25,2969.0,58429.0,9217.5,5341.0,3086.5,49238.0,2543.75,47513.25,44035.25,45794.0,10867.0,9022.25,59042.0,48510.0,82.5,31163.0,21463.75,209.5,69.0,107.25,24128.0,36209.0,4974.5,1410.0,10372.0,6727.0,66547.5,192.75,18384.5,6843.0,8025.25,220.5,4562.5,70730.0,4294.75,69173.0,63723.5,70832.25,16019.5,1600.0,14655.0,86664.0,261.0,65314.5
JB44,1,2155.25,6084.25,1058.5,32790.0,35283.5,327.75,109.25,885.25,573.0,481.5,61721.75,167.0,6833.5,180.0,1666.0,87.0,485.25,52888.0,1659.25,57749.25,47597.25,60833.25,10633.5,548.75,4811.25,75273.75,58242.0,239.0,779.5,22825.0,129.5,22905.75,245.5,1135.5,32939.0,792.25,269.75,165.0,25796.5,29069.75,140.0,19129.5,29591.5,1136.0,390.5,45103.5,31030.0,79.5,795.0,1725.5,143.5,69.5,12358.5,112.0,21159.5,278.5,107.25,258.5,346.0,311.0,27878.0,153.0,2133.0,174.5,334.0,71.5,157.25,25798.5,275.75,26662.25,21345.5,30555.0,3660.25,146.0,889.5,37499.0,122.5,25140.0,2630.5,4141.75,168.75,16100.5,101.5,23218.0,5038.5,580.25,810.0,640.5,25017.25,7691.5,2316.75,1017.0,26129.0,2278.25,31389.0,23412.75,22267.0,6990.0,3142.5,45427.5,31251.25,77.5,6709.0,11099.5,176.5,55.5,208.0,27696.5,45744.0,1089.5,2201.0,761.25,1304.5,56580.75,360.25,10517.0,212.75,4502.5,143.25,2873.25,53205.25,5188.75,52148.5,44175.75,49045.75,11405.0,1597.75,5465.0,61814.5,223.5,54063.5
JC12,1,4984.75,15347.0,145.5,9398.75,5434.25,1091.75,143.5,171.5,438.5,1629.0,37656.5,181.0,12937.25,206.75,1071.5,131.25,235.5,34441.0,159.0,33455.0,30319.25,38637.0,1568.0,167.75,472.5,63992.0,38762.75,890.75,11180.5,7267.0,109.75,2444.5,371.0,750.25,39015.25,5091.5,241.5,172.0,30130.0,33282.75,91.0,26553.0,28926.5,325.75,228.25,60191.25,37966.25,102.25,3594.5,13855.25,171.0,73.25,6842.75,125.0,7352.75,1973.5,119.5,129.0,238.75,1812.75,61416.25,136.25,16703.5,163.25,835.5,106.5,379.0,50256.25,116.5,43306.5,41590.25,53966.75,1303.5,94.25,308.0,77679.5,113.0,51676.5,4292.0,18559.5,184.5,6408.5,107.25,9238.5,85.75,2682.0,328.0,4720.75,37394.0,13620.5,1482.25,690.0,34466.25,233.25,34076.25,37250.5,33738.5,4004.25,337.0,53185.75,38465.5,86.5,10228.0,28992.0,202.25,101.25,112.25,10527.0,20162.0,6069.0,279.0,449.5,6479.5,54029.0,148.5,21620.0,265.75,3514.0,521.25,1877.75,49687.75,538.0,40408.5,46181.75,53489.5,5950.5,485.0,610.0,70928.75,120.0,57274.25
JC52,1,6666.5,9039.75,114.5,1282.5,5849.5,233.25,158.5,162.0,2305.5,277.75,23938.5,173.75,13151.0,1094.25,1155.25,144.5,96.0,20860.5,141.0,21480.0,16942.0,24266.0,387.0,126.0,1007.5,44690.5,26610.5,3156.25,5485.25,1411.0,107.0,2511.5,159.5,2065.5,26384.75,5526.25,575.0,315.5,21101.5,22029.75,87.75,17412.75,23583.5,152.75,317.75,45407.25,22781.0,76.5,7905.5,15659.0,175.0,69.75,1275.0,96.75,10555.5,275.0,118.0,139.0,1926.75,316.0,45949.0,128.5,13883.25,605.5,1220.25,83.5,85.5,38385.25,133.5,44340.25,28367.0,45051.0,472.75,74.25,710.5,70201.75,106.25,45181.25,8128.0,10468.25,174.5,898.5,105.25,9200.5,66.5,416.0,2547.5,413.25,33795.5,13942.75,2586.25,217.25,25108.5,194.5,22851.0,30277.0,30821.5,1151.75,1328.0,44023.5,29452.25,68.5,29412.5,31106.0,254.0,65.25,88.0,1629.5,29372.75,1560.5,232.5,9752.0,1420.5,69627.5,139.75,44005.25,5694.5,11352.5,126.25,789.5,58518.5,653.25,58586.75,59461.75,64883.0,4888.0,259.75,3214.5,76259.0,143.25,65678.5
JF94,2,966.5,8858.75,117.25,19731.75,13176.5,819.0,136.75,167.0,11985.25,1141.0,22540.5,648.5,2816.25,585.0,514.25,102.25,166.0,16323.75,193.0,17366.25,13219.25,22345.25,2566.0,102.0,376.5,35558.5,19387.5,163.0,2572.75,10408.0,126.5,5039.0,531.5,11869.75,14505.0,753.75,479.0,168.75,10151.5,11381.0,97.0,7852.5,11816.0,362.25,219.0,20837.5,9583.75,79.0,817.75,12468.0,197.0,79.75,21667.25,112.75,19406.0,949.0,112.0,134.25,12282.5,694.75,25366.75,484.25,6006.5,330.0,344.25,87.0,123.75,28901.5,137.25,30037.5,21731.0,29617.0,2976.5,89.5,373.5,42891.5,101.75,31685.5,2126.5,8158.0,144.0,7608.25,135.5,13630.25,312.0,3141.25,13262.75,3537.75,22091.0,4970.5,1341.25,326.25,20022.5,439.0,18173.75,18403.0,22049.0,4364.5,587.0,32512.25,22775.0,94.0,7028.5,30117.25,239.75,198.25,772.0,17525.0,30929.75,7673.5,568.0,21502.75,8012.75,57382.0,4458.25,16193.25,2435.75,4098.75,119.5,880.5,47232.5,1482.5,37947.75,36754.5,48926.0,10482.25,292.0,1201.5,55699.75,83.75,45732.5
